ID,gender,age,annual_income (*1000$),spending_score (1-100),family_size,family_annual_income,spent_by_categories(1-10),state,job_title
1,Female,74,77,10,6,188,5,Texas,Business Broker
2,Male,75,117,3,6,148,4,Nebraska,Retail Trainee
3,Female,32,61,27,6,186,1,New York,Budget Analyst
4,Female,17,85,58,2,62,4,Texas,Bellman
5,Male,30,127,32,3,164,7,California,Cash Manager
6,Male,19,102,81,5,101,6,New York,Investment  Advisor
7,Female,39,53,17,6,154,4,Virginia,Food Technologist
8,Female,17,110,82,6,83,3,Massachusetts,Inspector
9,Male,74,117,53,4,105,3,South Dakota,Loan Officer
11,Male,48,50,39,5,100,3,Florida,Service Supervisor
12,Male,60,54,22,5,187,5,Tennessee,Production Painter
13,Female,61,66,30,4,188,9,South Carolina,Chef Manager
14,Female,46,80,38,5,146,7,Florida,Treasurer
15,Female,46,112,43,5,152,1,Mississippi,Accountant
16,Female,41,53,92,2,145,2,Florida,Banker
17,Female,49,74,79,3,132,2,Mississippi,Production Painter
18,Male,18,112,37,3,183,9,Alabama,Assistant Buyer
19,Male,25,72,92,4,158,3,New York,Investment  Advisor
20,Male,72,83,6,6,134,1,North Carolina,Designer
21,Male,31,54,25,3,113,6,Mississippi,Production Painter
22,Male,35,48,21,6,83,2,New Mexico,Cashier
23,Female,61,87,63,4,96,5,Maryland,Mobile Developer
24,Male,74,102,65,3,145,9,Minnesota,Global Logistics Supervisor
25,Male,46,119,7,2,76,7,Iowa,Doctor
26,Female,54,99,62,5,161,7,Michigan,Executive Director
27,Female,68,59,81,3,168,6,Florida,Food Technologist
28,Male,17,101,21,3,164,8,New York,Staffing Consultant
29,Female,30,85,88,3,90,3,Oregon,Inspector
30,Male,41,76,80,2,101,2,Oregon,Bookkeeper
31,Male,34,63,8,3,110,9,New Mexico,Accountant
33,Female,51,83,54,2,173,6,Florida,Pharmacist
34,Female,65,103,17,6,90,9,New Mexico,Production Painter
35,Male,65,104,4,4,160,4,Minnesota,Webmaster
36,Male,72,82,71,5,52,8,Kentucky,Loan Officer
37,Male,19,72,33,3,78,5,Alabama,IT Support Staff
38,Female,68,103,62,5,163,8,Florida,Laboratory Technician
39,Male,44,67,58,6,149,3,Ohio,IT Support Staff
40,Male,28,85,15,2,95,4,Illinois,Assistant Buyer
41,Male,46,99,44,5,84,2,Florida,Business Broker
42,Female,35,92,53,6,105,7,Maryland,Chef Manager
43,Female,48,74,60,4,131,3,Idaho,Lecturer
44,Female,43,107,81,2,56,7,Alabama,Banker
45,Female,42,117,51,5,78,6,North Carolina,Doctor
46,Male,55,125,10,3,161,1,Connecticut,Auditor
47,Female,54,59,73,4,153,5,Texas,Staffing Consultant
48,Female,69,113,72,2,119,6,Alabama,Food Technologist
49,Male,36,67,89,5,161,5,South Dakota,Webmaster
50,Female,62,127,81,5,180,2,California,Project Manager
51,Male,69,81,32,2,155,8,Kansas,HR Specialist
53,Female,71,57,21,6,172,8,Ohio,HR Specialist
54,Female,51,114,8,5,69,8,Texas,HR Coordinator
55,Male,34,96,62,2,158,7,New Mexico,Global Logistics Supervisor
56,Male,69,41,33,5,158,6,Arizona,Health Educator
57,Female,67,52,81,4,132,4,Ohio,Treasurer
58,Female,32,76,4,5,184,3,Texas,Steward
59,Male,43,57,84,4,117,5,New York,Chef Manager
60,Female,51,91,67,2,78,1,Louisiana,Laboratory Technician
61,Male,61,94,70,3,106,4,Connecticut,Software Engineer
62,Female,17,51,23,6,114,6,Iowa,Front Desk Coordinator
63,Female,71,86,82,4,83,7,Kentucky,Banker
64,Male,43,79,52,5,116,8,New York,Budget Analyst
65,Male,44,114,69,4,119,4,Pennsylvania,Machine Operator
66,Male,67,75,7,4,125,2,Maryland,Investment  Advisor
67,Male,59,43,15,6,66,6,Tennessee,Staffing Consultant
68,Female,21,104,25,6,139,1,Mississippi,IT Support Staff
69,Female,36,129,27,6,56,1,Illinois,Steward
70,Male,18,57,44,3,102,4,South Dakota,Paramedic
71,Female,63,116,20,6,124,1,New York,Dentist
72,Female,38,64,25,3,107,7,Mississippi,Investment  Advisor
73,Female,26,85,26,3,137,8,Arizona,HR Coordinator
74,Male,38,124,15,2,65,5,Louisiana,Cash Manager
75,Male,69,65,28,5,180,7,Ohio,Retail Trainee
76,Female,51,74,7,2,157,3,Texas,CNC Operator
77,Female,67,61,42,4,69,4,California,Web Developer
78,Female,72,84,85,6,87,8,Virginia,Cook
79,Female,71,41,86,6,149,9,Alabama,Inspector
80,Female,70,112,86,5,70,6,Alabama,Global Logistics Supervisor
81,Male,51,108,5,2,158,1,Georgia,Web Developer
82,Male,77,41,65,4,163,7,New Hampshire,Staffing Consultant
83,Female,50,53,85,3,63,1,West Virginia,Retail Trainee
84,Female,76,81,88,5,96,1,Connecticut,Paramedic
85,Male,42,99,2,3,174,8,Minnesota,Chef Manager
86,Female,28,72,87,4,183,4,Alabama,Insurance Broker
87,Female,43,64,44,3,185,5,Minnesota,HR Coordinator
88,Female,61,81,29,2,156,8,Kansas,Cook
89,Female,76,51,32,3,119,6,Idaho,Webmaster
90,Male,30,60,87,4,83,2,Utah,Insurance Broker
91,Male,57,58,26,2,144,7,California,Insurance Broker
92,Male,27,67,34,5,151,3,Ohio,Laboratory Technician
93,Female,73,95,5,3,116,5,Idaho,Systems Administrator
94,Female,58,75,13,6,137,7,New York,Restaurant Manager
95,Female,45,113,80,5,157,8,Nevada,Investment  Advisor
96,Male,25,43,93,6,119,1,Kansas,Dentist
97,Male,24,63,77,2,108,7,Utah,Front Desk Coordinator
98,Male,39,112,42,6,179,1,Louisiana,Healthcare Specialist
99,Male,49,64,1,6,121,6,New Mexico,Laboratory Technician
100,Male,48,113,43,4,140,2,Texas,Stockbroker
101,Female,58,87,20,5,133,3,Colorado,Food Technologist
102,Female,31,122,60,2,145,8,Iowa,Stockbroker
103,Female,35,42,81,4,120,5,New Hampshire,Food Technologist
104,Male,20,126,87,4,176,9,Missouri,Doctor
105,Male,75,78,6,2,100,6,Kansas,Accountant
106,Female,70,52,30,4,148,6,New Jersey,Global Logistics Supervisor
107,Female,76,97,61,3,96,3,North Carolina,Web Developer
108,Male,61,41,42,3,174,8,Connecticut,Global Logistics Supervisor
110,Female,34,69,90,3,80,3,Nebraska,Machine Operator
111,Male,54,129,10,2,64,8,Kentucky,CNC Operator
112,Male,51,125,60,3,146,9,New Mexico,Business Broker
113,Male,55,92,43,6,107,4,Missouri,Business Broker
114,Female,17,63,91,2,92,4,Hawaii,Laboratory Technician
115,Male,25,100,70,6,154,3,Kentucky,Clerk
116,Female,68,103,28,3,114,1,Georgia,Web Developer
117,Male,59,95,78,2,165,3,North Carolina,Lecturer
118,Male,78,65,62,3,90,9,Alabama,Clerk
119,Male,56,86,42,6,158,3,Texas,Production Painter
120,Male,67,105,42,5,106,5,Alabama,Assistant Buyer
121,Male,37,47,47,3,90,5,Oregon,Loan Officer
122,Female,24,127,3,5,63,2,Kansas,Inspector
123,Female,32,72,2,5,121,3,New York,Banker
124,Female,20,50,48,5,153,5,Oregon,Business Broker
125,Male,31,42,51,2,72,8,Kentucky,Stockbroker
126,Female,36,120,41,4,80,9,Missouri,Executive Director
127,Female,55,46,90,3,114,9,Florida,Accountant
128,Female,21,43,37,2,88,2,Florida,Inspector
129,Male,49,40,29,5,111,2,Kentucky,Inspector
130,Female,41,68,26,4,139,2,Minnesota,Doctor
131,Male,40,72,90,2,74,3,New York,Chef Manager
132,Male,21,50,6,2,121,6,Mississippi,Doctor
133,Male,31,84,78,2,76,7,Mississippi,Operator
134,Female,19,95,33,4,89,2,California,Associate Professor
135,Male,57,64,63,4,149,3,Iowa,Steward
136,Male,35,119,32,3,178,8,Idaho,Paramedic
137,Male,43,99,5,2,183,5,Nebraska,Clerk
138,Female,45,88,64,5,136,9,Florida,Front Desk Coordinator
139,Male,44,103,74,3,164,2,Texas,HR Specialist
140,Male,51,56,34,2,156,9,Arizona,Webmaster
141,Male,41,102,17,5,132,7,Washington,Biologist
142,Female,16,55,47,6,186,7,New York,Machine Operator
143,Female,25,112,3,4,162,3,Utah,Cook
144,Male,58,67,78,2,125,7,Michigan,Business Broker
145,Male,75,99,28,4,106,4,Kentucky,Health Educator
146,Male,22,86,17,5,66,6,New Jersey,Electrician
147,Female,50,100,65,2,92,7,Illinois,Front Desk Coordinator
148,Female,26,109,1,3,168,5,Georgia,Audiologist
149,Female,48,110,35,6,124,2,California,Steward
150,Male,18,118,22,3,124,3,North Carolina,Web Developer
151,Female,76,70,94,6,173,3,Georgia,Auditor
152,Male,20,59,53,4,166,7,Delaware,Bookkeeper
153,Male,48,62,32,4,78,3,Michigan,Production Painter
154,Female,46,66,14,3,120,2,Louisiana,Audiologist
155,Male,53,58,20,3,170,8,Delaware,Treasurer
156,Female,74,55,60,2,81,6,Oregon,Webmaster
157,Male,64,122,17,3,72,7,Missouri,Restaurant Manager
158,Male,75,119,71,3,128,3,California,Banker
159,Male,76,104,6,6,143,3,New Jersey,HR Specialist
160,Female,21,61,67,4,113,7,North Dakota,Auditor
161,Male,58,50,84,6,166,1,New Mexico,Healthcare Specialist
162,Female,52,44,84,3,138,1,Alabama,Retail Trainee
163,Female,19,44,93,2,136,7,New York,Accountant
164,Male,28,51,66,4,152,8,Florida,Web Developer
165,Female,67,74,41,3,86,9,Illinois,Ambulatory Nurse
166,Female,66,116,26,3,60,6,New York,Systems Administrator
167,Male,70,48,35,5,155,4,New York,Baker
168,Female,28,99,8,2,60,6,South Dakota,Insurance Broker
169,Female,33,109,48,4,61,4,Nevada,Accountant
172,Male,72,74,91,5,174,1,Tennessee,Paramedic
173,Female,47,42,88,4,77,2,Kentucky,Business Broker
174,Female,52,124,27,6,58,3,North Carolina,Cook
175,Female,51,95,3,2,86,2,California,Accountant
176,Male,18,51,10,2,100,5,North Dakota,Design Engineer
177,Male,41,98,93,6,168,9,Minnesota,CNC Operator
178,Female,21,45,57,5,169,8,Oregon,Loan Officer
179,Female,20,72,3,5,99,4,Florida,Doctor
180,Female,27,96,68,3,124,9,Colorado,Business Broker
181,Male,21,45,71,4,130,9,Idaho,Health Educator
182,Male,44,49,14,6,189,1,Tennessee,Baker
183,Female,23,121,32,2,114,4,Illinois,Ambulatory Nurse
184,Female,29,124,72,6,172,9,Colorado,Clerk
185,Male,69,76,1,2,64,1,New York,Paramedic
186,Male,32,61,51,5,74,2,Maryland,Machine Operator
187,Male,49,51,22,3,90,5,Illinois,Doctor
188,Male,39,41,32,2,132,7,Nevada,Web Developer
189,Male,74,84,18,5,149,9,New York,Bellman
190,Female,27,122,54,6,173,7,Utah,Insurance Broker
191,Male,55,60,87,2,71,2,Hawaii,Baker
192,Male,33,91,73,4,79,1,North Carolina,Clerk
193,Male,22,70,45,3,170,5,New York,Chef Manager
194,Female,46,49,30,3,163,6,Texas,HR Specialist
196,Female,58,95,21,4,118,3,Louisiana,Software Engineer
197,Female,59,83,11,3,189,2,Arizona,Health Educator
198,Male,42,128,6,2,101,1,New York,Web Developer
199,Male,34,82,68,4,86,8,Hawaii,Systems Administrator
200,Female,70,124,66,6,165,5,Nevada,Software Engineer
201,Male,35,104,22,2,113,7,Texas,Web Developer
202,Male,63,91,77,2,106,2,Louisiana,Assistant Buyer
203,Female,28,80,51,3,144,5,Iowa,Doctor
204,Male,26,115,86,4,183,6,Arizona,Mobile Developer
205,Female,32,105,60,4,163,3,Minnesota,Call Center Representative
206,Female,59,54,64,2,66,8,Kansas,Bellman
207,Male,41,68,93,3,84,9,New Jersey,Healthcare Specialist
208,Female,75,58,70,4,175,5,Nebraska,Dentist
209,Female,38,95,75,4,78,9,New York,Systems Administrator
210,Male,39,57,4,6,74,9,Texas,Design Engineer
211,Female,53,116,53,5,146,4,Florida,Investment  Advisor
212,Female,16,47,60,2,136,7,Michigan,Health Educator
213,Female,62,120,78,6,115,7,Utah,Insurance Broker
214,Female,60,81,79,4,163,5,California,Web Developer
215,Female,47,121,52,5,67,3,Texas,Loan Officer
216,Male,38,67,24,6,74,7,Connecticut,Clerk
217,Female,29,102,94,3,183,5,Iowa,Fabricator
218,Female,58,69,48,3,160,8,Pennsylvania,Project Manager
219,Female,22,62,35,6,139,4,Washington,Paramedic
220,Male,45,83,6,6,126,8,Nevada,Cash Manager
221,Male,75,77,60,3,151,9,Nebraska,Auditor
222,Female,37,129,66,6,172,9,Pennsylvania,Fabricator
223,Female,33,75,78,2,140,2,Texas,Lecturer
225,Female,48,66,67,6,159,5,Mississippi,Fabricator
226,Male,43,109,65,3,97,5,Tennessee,IT Support Staff
227,Male,58,57,10,2,111,3,Mississippi,Chef Manager
228,Male,33,57,94,6,62,9,Kentucky,Stockbroker
229,Male,37,50,52,3,129,2,New Hampshire,Banker
230,Male,18,54,46,4,185,3,Washington,Mobile Developer
231,Male,58,72,49,6,96,2,Louisiana,Assistant Buyer
232,Male,66,110,5,4,82,5,New Jersey,Auditor
233,Male,73,116,46,6,75,1,Texas,Chef Manager
234,Male,60,52,25,6,120,9,Colorado,Machine Operator
235,Female,37,97,74,4,186,3,California,Bellman
236,Female,53,66,88,3,130,8,Nevada,Software Engineer
237,Male,44,69,67,3,145,6,Georgia,Fabricator
238,Female,71,127,3,3,184,3,North Dakota,Loan Officer
239,Male,74,103,7,4,81,4,Virginia,HR Specialist
240,Male,18,128,5,5,177,9,Massachusetts,Health Educator
242,Female,62,127,74,5,95,7,Iowa,Restaurant Manager
243,Female,38,85,75,3,82,9,Nevada,Ambulatory Nurse
244,Female,35,98,6,4,81,9,Colorado,Food Technologist
245,Male,20,88,67,2,183,1,Utah,Cashier
246,Male,59,110,25,4,189,2,Utah,Treasurer
247,Male,59,122,34,3,52,1,Nevada,Investment  Advisor
248,Male,20,63,17,4,82,8,Nebraska,Bookkeeper
249,Male,59,92,6,2,91,5,New York,Physician
250,Male,59,115,12,3,175,2,Utah,Ambulatory Nurse
251,Male,25,125,75,6,66,4,Tennessee,Assistant Buyer
252,Female,38,77,46,5,187,1,Florida,Retail Trainee
253,Male,57,76,69,4,148,3,New York,Service Supervisor
254,Female,53,76,70,4,188,7,Nebraska,Fabricator
255,Male,72,101,12,3,145,3,New Hampshire,Health Educator
256,Female,34,129,34,4,82,7,Washington,Cashier
257,Male,29,107,5,3,134,9,South Carolina,Project Manager
258,Male,32,103,15,2,132,9,Texas,Health Educator
259,Male,70,107,50,6,158,6,North Dakota,Web Developer
260,Male,48,84,86,2,145,2,Colorado,Operator
261,Male,50,66,65,2,126,6,Nebraska,Doctor
262,Male,42,112,47,5,54,5,Washington,Retail Trainee
263,Female,68,83,77,4,151,7,Mississippi,Food Technologist
264,Female,36,79,64,2,177,5,North Dakota,Audiologist
265,Female,64,115,23,6,169,7,Connecticut,Fabricator
266,Male,72,77,31,5,179,1,New York,Associate Professor
267,Female,63,115,73,4,180,9,California,IT Support Staff
268,Male,39,111,84,3,83,9,Arizona,Operator
269,Female,61,99,80,3,127,8,California,Banker
270,Female,17,115,6,4,112,9,North Dakota,Machine Operator
271,Male,51,89,26,5,169,1,Michigan,Food Technologist
272,Male,64,98,60,3,60,1,Texas,Mobile Developer
273,Male,66,54,32,6,117,5,Texas,Baker
274,Male,73,86,76,5,113,2,New York,Web Developer
275,Female,35,49,41,2,67,4,Utah,Executive Director
276,Female,73,85,71,6,66,4,Washington,Cash Manager
277,Male,38,52,11,2,53,2,Alabama,Banker
278,Female,57,112,16,4,154,6,Maryland,Fabricator
280,Male,74,46,1,2,65,2,Connecticut,Associate Professor
281,Female,46,60,74,4,148,1,Pennsylvania,Associate Professor
282,Male,53,43,39,2,52,3,Arizona,Lecturer
284,Male,54,84,92,6,138,1,Arizona,Front Desk Coordinator
285,Male,18,87,54,2,119,8,South Carolina,Banker
286,Male,70,77,43,4,117,4,Nevada,Inspector
287,Male,33,57,77,5,167,1,Missouri,Audiologist
288,Female,18,121,72,4,132,8,Florida,Doctor
289,Female,68,118,7,5,155,2,North Dakota,Health Educator
290,Male,25,64,76,5,54,8,Texas,Banker
291,Female,61,60,48,2,155,9,New Jersey,Inspector
292,Female,76,98,59,4,97,4,New York,Web Developer
293,Male,78,101,89,3,162,7,Missouri,Steward
294,Male,23,86,89,6,111,6,New Hampshire,Inspector
295,Male,45,45,42,6,83,5,New Jersey,Baker
296,Male,54,88,5,5,110,1,Delaware,Investment  Advisor
297,Male,69,92,48,2,118,4,Kentucky,Assistant Buyer
298,Male,18,54,29,2,79,9,Arizona,Project Manager
299,Male,18,103,70,6,75,6,New York,Accountant
300,Female,30,46,63,6,184,8,West Virginia,Associate Professor
301,Female,63,128,38,4,131,4,Virginia,CNC Operator
302,Male,62,62,22,6,185,2,Alabama,Call Center Representative
303,Female,74,74,20,4,127,9,Michigan,Chef Manager
305,Male,35,84,85,6,144,9,New York,Electrician
306,Male,78,126,22,4,172,3,Maryland,Stockbroker
307,Female,70,113,80,2,86,7,Colorado,HR Specialist
308,Female,65,102,35,3,136,4,Georgia,Associate Professor
309,Female,18,117,51,3,98,3,Louisiana,Fabricator
310,Male,33,82,13,5,176,5,South Dakota,Treasurer
311,Male,33,117,25,6,59,3,Texas,CNC Operator
312,Female,67,85,87,4,138,9,Iowa,Clerk
313,Female,75,84,63,2,138,3,Texas,Global Logistics Supervisor
314,Female,62,103,51,6,98,2,West Virginia,Mobile Developer
315,Male,61,111,25,6,110,7,Texas,Assistant Buyer
316,Female,27,44,5,5,53,7,Utah,Dentist
317,Male,60,116,59,5,151,1,North Carolina,CNC Operator
318,Female,39,106,33,5,80,2,Virginia,Bookkeeper
319,Female,60,117,70,4,182,6,South Dakota,Insurance Broker
320,Male,75,86,17,4,100,8,Kansas,Webmaster
321,Female,64,92,60,4,126,4,Maryland,Design Engineer
322,Male,47,76,30,4,60,8,Missouri,Designer
323,Female,42,56,3,4,122,8,Texas,HR Coordinator
324,Female,75,105,57,4,66,1,Washington,Retail Trainee
325,Male,71,66,19,2,64,5,Washington,Electrician
327,Female,69,118,94,3,181,7,Nebraska,HR Coordinator
328,Female,53,121,27,3,81,1,Connecticut,Inspector
329,Male,54,121,47,6,134,9,Connecticut,Cook
330,Male,48,44,18,3,144,9,Delaware,CNC Operator
331,Male,59,67,27,4,180,8,Kentucky,Audiologist
332,Female,47,94,69,2,64,9,Illinois,Restaurant Manager
333,Male,61,65,34,6,115,5,South Carolina,Dentist
334,Female,63,41,79,2,95,3,Tennessee,Dentist
335,Female,29,90,61,5,61,8,New Hampshire,Designer
336,Female,54,51,33,2,135,4,Ohio,IT Support Staff
337,Male,23,96,78,5,60,4,Louisiana,Software Engineer
